Rank;Platform;Year;Genre;Publisher;NA_Sales;EU_Sales;JP_Sales;Other_Sales;Global_Sales
52;PSP;2005;Action;Take-Two Interactive;2.9;2.83;0.24;1.75;7.72
53;PS;1997;Role-Playing;Sony Computer Entertainment;3.01;2.47;3.28;0.96;9.72
54;3DS;2011;Platform;Nintendo;4.89;2.99;2.13;0.78;10.79
55;PS;1999;Racing;Sony Computer Entertainment;3.88;3.42;1.69;0.5;9.49
56;PS3;2009;Shooter;Activision;4.99;3.69;0.38;1.63;10.69
57;PS3;2010;Action;Take-Two Interactive;2.79;2.61;0.17;1.03;6.6
58;SNES;1993;Platform;Nintendo;5.99;2.15;2.12;0.29;10.55
59;GBA;2004;Role-Playing;Nintendo;4.34;2.65;3.15;0.35;10.49
60;DS;2004;Platform;Nintendo;5.08;3.11;1.25;0.98;10.42
61;Wii;2009;Misc;Ubisoft;3.51;3.03;0;0.73;7.27
62;X360;2013;Shooter;Activision;6.72;2.63;0.04;0.82;10.21
63;X360;2010;Shooter;Microsoft Game Studios;7.03;1.98;0.08;0.78;9.88
64;N64;1996;Racing;Nintendo;5.55;1.94;2.23;0.15;9.87
65;3DS;2012;Platform;Nintendo;3.66;3.07;2.47;0.63;9.82
66;X360;2012;Shooter;Microsoft Game Studios;6.63;2.36;0.04;0.73;9.76
67;PS2;2001;Role-Playing;Sony Computer Entertainment;2.91;2.07;2.73;0.33;8.05
68;PS3;2013;Shooter;Activision;4.09;3.73;0.38;1.38;9.59
69;Wii;2012;Misc;Ubisoft;4.14;2.21;0;0.56;6.91
70;PS;1997;Platform;Sony Computer Entertainment;3.78;2.17;1.31;0.31;7.58
71;X360;2007;Shooter;Activision;5.91;2.38;0.13;0.9;9.32
72;SNES;1994;Platform;Nintendo;4.36;1.71;3;0.23;9.3
73;X360;2013;Misc;Microsoft Game Studios;5.58;2.83;0.02;0.77;9.2
74;3DS;2012;Simulation;Nintendo;2.01;2.32;4.36;0.41;9.09
75;DS;2007;Misc;Nintendo;4.46;1.88;1.98;0.7;9.02
76;X360;2011;Role-Playing;Bethesda Softworks;5.03;2.86;0.1;0.85;8.84
77;SNES;1992;Racing;Nintendo;3.54;1.24;3.81;0.18;8.76
78;PS4;2015;Sports;Electronic Arts;1.11;6.06;0.06;1.26;8.49
79;Wii;2010;Misc;Nintendo;1.79;3.53;2.49;0.68;8.49
80;XB;2004;Shooter;Microsoft Game Studios;6.82;1.53;0.05;0.08;8.49
81;Wii;2007;Misc;Nintendo;3.81;2.3;1.58;0.73;8.42
82;DS;2012;Role-Playing;Nintendo;2.91;1.86;3.14;0.43;8.33
83;PS3;2012;Action;Electronic Arts;1.06;5.05;0.13;2.01;8.24
84;PC;2009;Simulation;Electronic Arts;0.98;6.42;0;0.71;8.11
85;N64;1997;Shooter;Nintendo;5.8;2.01;0.13;0.15;8.09
86;DS;2008;Sports;Sega;1.64;2.48;0.44;0.58;5.14
87;PS;1998;Fighting;Sony Computer Entertainment;3.27;2.22;1.4;0.29;7.16
88;SNES;1994;Role-Playing;Square Enix;0.86;0;2.55;0.02;3.42
89;DS;2008;Role-Playing;Nintendo;2.82;1.78;2.69;0.55;7.84
90;2600;1982;Puzzle;Atari;7.28;0.45;0;0.08;7.81
91;X360;2010;Action;Take-Two Interactive;3.7;1.97;0.09;0.57;6.34
92;Wii;2010;Platform;Nintendo;3.66;2.42;0.98;0.64;7.69
93;PS4;2015;Shooter;Electronic Arts;2.93;3.29;0.22;1.23;7.67
94;PS4;2014;Shooter;Activision;2.8;3.3;0.14;1.37;7.6
95;N64;1998;Action;Nintendo;4.1;1.89;1.45;0.16;7.6
96;PS;1998;Platform;Sony Computer Entertainment;3.68;1.75;1.42;0.28;7.13
97;NES;1988;Platform;Nintendo;5.39;1.18;0.7;0.19;7.46
98;3DS;2014;Fighting;Nintendo;3.24;1.35;2.42;0.43;7.45
99;X360;2008;Shooter;Activision;4.79;1.9;0;0.69;7.37
100;X360;2011;Shooter;Electronic Arts;4.46;2.13;0.06;0.69;7.34
101;Wii;2006;Action;Nintendo;3.83;2.19;0.6;0.7;7.31
102;XOne;2015;Shooter;Activision;4.52;2.09;0.01;0.67;7.3
103;PS3;2012;Action;Ubisoft;2.64;2.56;0.16;1.14;6.5
104;PS3;2011;Shooter;Electronic Arts;2.85;2.93;0.35;1.1;7.23
105;PS2;2003;Racing;Electronic Arts;3.27;2.83;0.08;1.02;7.2
106;PS3;2011;Action;Sony Computer Entertainment;2.77;2.8;0.19;1.06;6.83
107;PS;1996;Platform;Sony Computer Entertainment;3.23;2.35;0.94;0.3;6.82
108;GC;2001;Fighting;Nintendo;4.41;1.04;1.39;0.22;7.07
109;WiiU;2014;Racing;Nintendo;3.13;2.07;1.27;0.49;6.96
110;PS4;2015;Role-Playing;Bethesda Softworks;2.47;3.15;0.24;1.1;6.96
111;GC;2003;Racing;Nintendo;4.12;1.77;0.87;0.19;6.95
112;PS3;2009;Action;Ubisoft;2.54;1.95;0.21;0.87;5.57
113;PS3;2013;Sports;Electronic Arts;0.78;4.32;0.07;1.73;6.9
114;PS2;2004;Racing;Electronic Arts;2.71;3.02;0.08;1.09;6.9
115;PS2;2002;Shooter;Electronic Arts;2.93;2.75;0.17;0.99;6.83
116;PS3;2009;Action;Sony Computer Entertainment;3.27;2.25;0.21;1;6.73
117;PS2;2002;Role-Playing;Sony Computer Entertainment;3.64;1.2;1.49;0.07;6.4
118;Wii;2010;Sports;505 Games;3.5;2.64;0;0.67;6.81
119;X360;2008;Shooter;Microsoft Game Studios;4.15;1.92;0.06;0.64;6.76
120;PS3;2008;Platform;Sony Computer Entertainment;2.8;2.05;0.17;0.9;5.92
121;PS3;2007;Shooter;Activision;3.1;2.3;0.28;1.04;6.72
122;PS3;2011;Sports;Electronic Arts;0.84;4.32;0.11;1.42;6.69
123;DS;2005;Misc;Nintendo;1.67;2.78;1.6;0.62;6.67
124;XOne;2014;Action;Take-Two Interactive;2.66;2.01;0;0.41;5.08
125;PS4;2014;Sports;Electronic Arts;0.79;4.29;0.05;1.47;6.59
126;Wii;2010;Platform;Nintendo;3.25;1.84;1.03;0.47;6.59
127;PS3;2011;Role-Playing;Bethesda Softworks;2.55;2.71;0.25;1.05;6.56
128;NES;1986;Action;Nintendo;3.74;0.93;1.69;0.14;6.51
129;X360;2007;Adventure;Ubisoft;3.28;1.65;0.07;0.55;5.55
130;XB;2001;Shooter;Microsoft Game Studios;4.98;1.3;0.08;0.07;6.43
131;GBA;2004;Role-Playing;Nintendo;2.57;1.58;2.06;0.21;6.41
132;PS;1996;Fighting;Sony Computer Entertainment;2.26;1.89;1.36;0.23;5.74
133;GB;2000;Role-Playing;Nintendo;2.55;1.56;1.29;0.99;6.39
134;X360;2009;Shooter;Microsoft Game Studios;4.34;1.35;0.06;0.61;6.36
135;PSP;2006;Action;Take-Two Interactive;1.7;2.02;0.16;1.21;5.08
136;GC;2002;Platform;Nintendo;4.01;1.26;0.87;0.17;6.31
137;SNES;1992;Fighting;Capcom;2.47;0.83;2.87;0.12;6.3
138;PC;2004;Role-Playing;Activision;0.07;6.21;0;0;6.28
139;PS;1999;Action;GT Interactive;3.11;2.8;0.02;0.33;6.27
140;X360;2010;Sports;Microsoft Game Studios;3.92;1.78;0.03;0.51;6.24
141;X360;2011;Shooter;Microsoft Game Studios;4.05;1.62;0.07;0.49;6.24
142;X360;2006;Shooter;Microsoft Game Studios;3.54;1.9;0.07;0.6;6.11
143;PS2;2001;Action;Konami Digital Entertainment;2.45;2.01;0.87;0.72;6.05
144;Wii;2009;Sports;Sega;1.89;1.99;0.22;0.48;4.58
145;PS3;2008;Action;Konami Digital Entertainment;2.63;1.74;0.83;0.83;6.03
146;PS;1998;Action;Konami Digital Entertainment;3.18;1.83;0.78;0.24;6.03
147;PS2;2001;Simulation;Sony Computer Entertainment;2.06;0.56;0.38;0.17;3.17
148;PS2;2004;Role-Playing;Square Enix;0.65;0.75;3.61;0.2;5.21
149;PS3;2014;Misc;Sony Computer Entertainment;1.97;2.51;0;0.94;5.42
150;DS;2009;Role-Playing;Nintendo;0.66;0.69;4.35;0.15;5.84
151;Wii;2007;Action;LucasArts;3.66;1.63;0;0.53;5.83
152;PS;1996;Action;Virgin Interactive;1.82;1.24;0.47;0.25;3.77
153;PS;1998;Platform;Sony Computer Entertainment;3.36;1.36;0.07;0.21;5
154;DS;2006;Simulation;505 Games;3.13;1.94;0.07;0.58;5.72
155;PS4;2014;Shooter;Activision;2.49;2.05;0.16;0.96;5.65
156;NES;1988;Puzzle;Nintendo;2.97;0.69;1.81;0.11;5.58
157;X360;2012;Action;Ubisoft;3.13;1.71;0.03;0.44;5.3
158;N64;1999;Fighting;Nintendo;2.95;0.6;1.97;0.04;5.55
159;X360;2009;Action;Ubisoft;3.1;1.56;0.08;0.51;5.27
160;PS4;2015;Action;Warner Bros. Interactive Entertainment;1.49;1.58;0.1;0.61;3.79
161;X360;2009;Racing;Microsoft Game Studios;2.99;1.92;0.1;0.51;5.51
162;PSP;2008;Role-Playing;Capcom;0.47;0.57;4.13;0.34;5.5
163;GBA;2001;Platform;Nintendo;3.14;1.24;0.91;0.2;5.49
164;GBA;2001;Racing;Nintendo;2.62;1.64;0.99;0.23;5.47
165;GBA;2001;Platform;Nintendo;3.21;1.11;0.95;0.2;5.46
166;N64;1999;Strategy;Nintendo;3.18;1.24;0.94;0.09;5.45
167;PS3;2008;Shooter;Activision;2.72;1.87;0;0.84;5.43
168;GBA;2002;Platform;Universal Interactive;0.95;0.7;0;0.08;1.73
169;PS3;2007;Action;Sony Computer Entertainment;2.31;1.73;0.12;0.78;4.94
170;PS2;2005;Role-Playing;Square Enix;2.2;0.58;1.38;0.17;4.33
171;GB;1989;Puzzle;Nintendo;2.18;0.96;2;0.2;5.34
172;GB;1999;Misc;Nintendo;3.02;1.12;1.01;0.16;5.31
173;PS3;2007;Adventure;Ubisoft;1.91;2;0.09;0.83;4.83
174;SNES;1992;Role-Playing;Square Enix;0;0;2.43;0.02;2.45
175;PS2;2003;Role-Playing;Electronic Arts;1.92;1.08;2.11;0.17;5.29
176;N64;1999;Platform;Nintendo;3.33;0.79;1.09;0.06;5.27
177;Wii;2010;Misc;Ubisoft;2.67;1.35;0.01;0.39;4.42
178;DS;2007;Puzzle;Nintendo;1.22;2.48;1.03;0.52;5.26
179;PS;1997;Action;Eidos Interactive;2.3;2.46;0.2;0.28;5.24
180;PS2;N/A;Sports;Electronic Arts;4.26;0.26;0.01;0.71;5.23
181;PSP;2007;Role-Playing;Square Enix;1.35;0.6;0.8;0.44;3.19
182;PC;2012;Role-Playing;Activision;2.43;2.15;0;0.62;5.2
183;GBA;2003;Platform;Nintendo;2.93;1.25;0.83;0.2;5.2
184;WiiU;2012;Platform;Nintendo;2.32;1.3;1.27;0.31;5.19
185;GB;1994;Platform;Nintendo;2.49;0.98;1.57;0.15;5.19
186;X360;2012;Action;Electronic Arts;1.08;3.48;0.03;0.58;5.18
187;DS;2007;Action;Nintendo;1.9;1.83;0.95;0.49;5.17
188;SNES;1995;Platform;Nintendo;2.1;0.74;2.2;0.11;5.15
189;3DS;2013;Simulation;Nintendo;0.96;2.02;1.89;0.28;5.15
190;GEN;1991;Platform;Sega;3.03;0.91;0.26;0.13;4.34
191;PS2;2003;Shooter;Electronic Arts;1.98;2.23;0.13;0.8;5.13
192;GB;1992;Platform;Nintendo;2.71;0.61;1.7;0.11;5.13
193;X360;2010;Role-Playing;Microsoft Game Studios;3.59;1.11;0.05;0.38;5.13
194;XOne;2014;Shooter;Activision;3.21;1.53;0.01;0.38;5.13
195;PC;1996;Simulation;Microsoft Game Studios;3.22;1.69;0;0.2;5.12
196;PS2;2007;Misc;RedOctane;0.92;0.04;0;0.15;1.11
197;PS3;2009;Action;Capcom;1.96;1.43;1.08;0.65;5.11
198;X360;2006;Role-Playing;Take-Two Interactive;2.82;1.05;0.13;0.4;4.39
199;Wii;2007;Misc;Take-Two Interactive;2.13;1.5;0.05;0.42;4.1
200;PS3;2010;Sports;Electronic Arts;0.6;3.29;0.06;1.13;5.08
201;GB;1999;Platform;Nintendo;3.4;1.3;0.15;0.22;5.07
202;PC;1994;Shooter;Virgin Interactive;2.05;1.4;0;0.16;3.61
203;PS;1999;Sports;Activision;3.42;1.38;0.02;0.2;5.02
204;WiiU;2014;Fighting;Nintendo;2.59;1.06;0.8;0.57;5.02
205;PS;1999;Strategy;Eidos Interactive;2.79;1.89;0;0.33;5.01
206;PS3;2010;Action;Sony Computer Entertainment;2.74;1.36;0.12;0.63;4.84
207;Wii;2007;Shooter;Nintendo;3.06;1.18;0.29;0.46;5
208;PS2;2007;Misc;Activision;3.49;0.01;0.01;1.48;4.98
209;X360;2008;Role-Playing;Bethesda Softworks;3.39;1.03;0.09;0.44;4.96
210;DS;2007;Role-Playing;Nintendo;1.85;1.2;1.54;0.37;4.96
211;PS;1999;Racing;Sony Computer Entertainment;2.57;1.57;0.44;0.21;4.79
212;PS2;2005;Sports;Electronic Arts;3.98;0.26;0.01;0.66;4.91
213;DS;2007;Action;LucasArts;2.89;1.54;0;0.46;4.9
214;N64;1997;Racing;Nintendo;2.91;0.99;0.89;0.1;4.88
215;PSP;2010;Role-Playing;Capcom;0;0;4.87;0;4.87
216;NES;1990;Puzzle;Nintendo;2.62;0.6;1.52;0.1;4.85
217;PS4;2014;Action;Sony Computer Entertainment;1.78;1.87;0.07;0.82;4.55
218;PC;2010;Strategy;Activision;2.56;1.68;0;0.59;4.83
219;PS3;2011;Action;Ubisoft;1.41;2.02;0.1;0.72;4.24
220;PS3;2014;Sports;Electronic Arts;0.57;3.14;0.04;1.07;4.82
221;PS4;2015;Action;Sony Computer Entertainment;1.96;1.69;0.08;0.74;4.47
222;PS4;2016;Sports;Electronic Arts;0.28;3.75;0.06;0.69;4.77
223;X360;2008;Action;Warner Bros. Interactive Entertainment;2.03;1.03;0;0.32;3.38
224;PS;2000;Action;Atari;2.36;2.1;0.02;0.25;4.73
225;PC;2004;Shooter;Vivendi Games;2.28;0.02;0.08;0;2.37
226;PS;2000;Sports;Activision;3.05;1.41;0.02;0.2;4.68
227;Wii;2008;Simulation;Nintendo;1.87;1.12;1.32;0.37;4.68
228;PS2;2002;Action;Electronic Arts;1.94;1.95;0.08;0.7;4.67
229;X360;2011;Racing;Microsoft Game Studios;2.08;2.04;0.06;0.47;4.64
230;PS;1996;Action;Eidos Interactive;2.29;1.97;0.13;0.24;4.63
231;Wii;2007;Misc;Activision;3.06;1.12;0;0.44;4.62
232;SNES;1991;Action;Nintendo;2.42;0.91;1.15;0.13;4.61
233;GC;2002;Action;Nintendo;2.6;0.99;0.89;0.13;4.6
234;Wii;2011;Sports;Sega;1.14;1.91;0.27;0.46;3.78
235;3DS;2013;Action;Nintendo;1.78;1.39;1.1;0.3;4.58
236;WiiU;2015;Shooter;Nintendo;1.55;1.15;1.44;0.43;4.57
237;PS2;2005;Action;Sony Computer Entertainment;2.71;1.29;0.02;0.43;4.45
238;X360;2007;Misc;Activision;3.19;0.92;0.01;0.42;4.53
239;PS2;2004;Sports;Electronic Arts;4.18;0.26;0.01;0.08;4.53
240;2600;1981;Platform;Activision;4.21;0.24;0;0.05;4.5
241;PS2;2006;Sports;Electronic Arts;3.63;0.24;0.01;0.61;4.49
242;PS2;2002;Action;Activision;2.71;1.51;0.03;0.23;4.48
243;PS;2000;Role-Playing;Enix Corporation;0.2;0.14;4.1;0.02;4.47
244;PS3;2006;Shooter;Sony Computer Entertainment;1.73;1.73;0.14;0.75;4.35
245;PS3;2014;Shooter;Activision;1.54;1.94;0.19;0.77;4.45
246;PSP;2006;Platform;Sony Computer Entertainment;2.45;1.02;0;0.75;4.22
247;WiiU;2012;Misc;Nintendo;2.55;1.11;0.46;0.33;4.44
248;X360;2011;Action;Ubisoft;2.25;1.47;0.04;0.43;4.19
249;PS2;2001;Sports;Activision;2.66;1.29;0.01;0.46;4.41
250;PS2;2006;Sports;Konami Digital Entertainment;0.1;2.39;1.05;0.86;4.39
251;PS4;2015;Sports;Take-Two Interactive;2.48;0.65;0.03;0.69;3.85
252;NES;1987;Adventure;Nintendo;2.19;0.5;1.61;0.08;4.38
253;PS2;2005;Racing;Electronic Arts;2.03;1.79;0.08;0.47;4.37
254;PS2;2003;Misc;Sony Computer Entertainment;0.88;2.3;0.2;0.83;4.2
255;DS;2009;Sports;Sega;1.22;1.66;0.27;0.38;3.52
256;PS3;2011;Role-Playing;Square Enix;0.78;0.75;0.89;0.26;2.68
257;X360;2013;Sports;Electronic Arts;0.92;2.93;0.01;0.46;4.31
258;X360;2014;Shooter;Activision;2.75;1.18;0;0.37;4.31
259;2600;1980;Shooter;Atari;4;0.26;0;0.05;4.31
260;X360;2008;Role-Playing;Microsoft Game Studios;2.51;1.27;0.11;0.41;4.31
261;XOne;2015;Shooter;Microsoft Game Studios;2.64;1.2;0.03;0.39;4.26
262;WiiU;2013;Platform;Nintendo;2.11;1.11;0.72;0.3;4.25
263;PS3;2009;Action;Eidos Interactive;2.23;1.34;0.07;0.61;4.25
264;PS4;2014;Action;Ubisoft;1.4;1.86;0.11;0.77;4.14
265;GBA;2001;Misc;Namco Bandai Games;3;1.11;0.05;0.07;4.24
266;PS2;2004;Action;Konami Digital Entertainment;1.46;0;0.83;1.93;4.23
267;PS4;2016;Shooter;Sony Computer Entertainment;1.3;2.07;0.18;0.65;4.2
268;PC;1995;Strategy;Activision;1.7;2.27;0;0.23;4.21
269;3DS;2011;Action;Nintendo;2.03;1.27;0.62;0.3;4.21
270;PS2;2005;Sports;Electronic Arts;0.78;2.55;0.04;0.84;4.21
271;PS3;2007;Racing;Sony Computer Entertainment;1.28;1.83;0.57;0.53;4.2
272;PS2;2007;Action;Sony Computer Entertainment;2.32;0.04;0.04;1.67;4.07
273;PS;1996;Misc;Sony Computer Entertainment;2.28;1.55;0.16;0.06;4.05
274;PS4;2014;Shooter;Ubisoft;1.12;2.12;0.1;0.69;4.03
275;PS3;2009;Fighting;Capcom;2.02;1.06;0.58;0.53;4.19
276;X360;2011;Sports;Electronic Arts;0.84;2.79;0.02;0.53;4.19
277;PS;1995;Role-Playing;Panther Software;0.02;0.02;0.12;0.01;0.17
278;NES;1984;Racing;Nintendo;2.04;0.48;1.57;0.07;4.16
279;PS;1997;Action;Hasbro Interactive;3.79;0.27;0;0.11;4.16
280;PS2;2002;Sports;Electronic Arts;3.36;0.21;0.01;0.56;4.14
281;PS4;2014;Action;Ubisoft;1.18;1.96;0.08;0.7;3.92
282;GBA;2001;Platform;Vivendi Games;1.29;0.83;0;0.11;2.23
283;SNES;1995;Platform;Nintendo;1.65;0.61;1.76;0.09;4.12
284;PS2;2006;Sports;Electronic Arts;0.71;2.48;0.03;0.89;4.11
285;Wii;2011;Action;Nintendo;2.14;1.2;0.37;0.4;4.1
286;SNES;1992;Fighting;Capcom;1.42;0.51;2.1;0.07;4.1
287;PSP;2005;Racing;Take-Two Interactive;1.65;1.22;0;0.79;3.66
288;XOne;2015;Role-Playing;Bethesda Softworks;2.45;1.26;0.01;0.37;4.09
289;PC;2007;Role-Playing;Activision;2.57;1.52;0;0;4.09
290;X360;2010;Role-Playing;Bethesda Softworks;2.65;1.06;0.04;0.33;4.08
291;PS3;2006;Racing;Sony Computer Entertainment;1.53;1.61;0.06;0.67;3.88
292;X360;2007;Racing;Microsoft Game Studios;2.35;1.28;0.03;0.41;4.06
293;PS2;2005;Sports;Konami Digital Entertainment;0.12;2.26;0.9;0.77;4.06
294;PS3;2010;Sports;Sony Computer Entertainment;2.12;1.14;0.1;0.51;3.87
295;PS2;2000;Fighting;Namco Bandai Games;1.68;1.51;0.51;0.35;4.05
296;PS3;2013;Action;Ubisoft;1.33;1.71;0.13;0.73;3.89
297;N64;1997;Shooter;Nintendo;2.78;0.58;0.64;0.04;4.03
298;PSV;2014;Misc;Sony Computer Entertainment;0.28;0.79;0.87;0.32;2.25
299;NES;1984;Sports;Nintendo;1.22;0.28;2.46;0.04;4.01
300;PS3;2008;Role-Playing;Bethesda Softworks;2.15;1.2;0.07;0.59;4.01
301;DS;2007;Puzzle;Nintendo;0.92;1.78;0.92;0.37;4
302;X360;2009;Shooter;Electronic Arts;2.67;0.89;0.05;0.37;3.99
303;PS2;2005;Misc;Namco Bandai Games;2.08;1.35;0;0.54;3.98
304;Wii;2009;Sports;Electronic Arts;2.1;1.36;0.06;0.4;3.92
305;Wii;2013;Misc;Ubisoft;1.98;1.47;0;0.32;3.76
306;GB;1994;Platform;Nintendo;1.97;0.76;1.07;0.11;3.91
307;PS2;2003;Sports;Activision;2.29;1.17;0.01;0.42;3.9
308;PS4;2016;Shooter;Ubisoft;1.28;1.61;0.15;0.57;3.61
309;3DS;2014;Role-Playing;Nintendo;0.67;0.49;2.62;0.11;3.89
310;PS;1995;Misc;Sony Computer Entertainment;2.12;1.44;0.22;0.06;3.84
311;PC;2011;Role-Playing;Bethesda Softworks;1.15;2.09;0;0.64;3.88
312;PS2;2005;Fighting;Namco Bandai Games;0.93;1.94;0.31;0.7;3.87
313;NES;1988;Role-Playing;Enix Corporation;0.1;0;3.77;0;3.87
314;PSP;2007;Platform;Sony Computer Entertainment;1.4;1.4;0.1;0.87;3.77
315;PS2;2006;Action;Take-Two Interactive;1.56;1.4;0.07;0.5;3.54
316;PS2;2004;Sports;Konami Digital Entertainment;0.16;1.89;1.12;0.68;3.85
317;DS;2007;Misc;Nintendo;0.87;1.57;1.05;0.35;3.84
318;PS;2000;Platform;Sony Computer Entertainment;1.93;1.58;0;0.19;3.71
319;GB;1992;Action;Nintendo;2.21;0.96;0.54;0.13;3.83
320;DS;2009;Role-Playing;Nintendo;2.26;0.48;0.81;0.27;3.83
321;Wii;2007;Misc;Nintendo;1.06;1.93;0.41;0.43;3.82
322;3DS;2011;Simulation;Nintendo;1.44;1.37;0.73;0.27;3.81
323;Wii;N/A;Action;Warner Bros. Interactive Entertainment;1.86;1.02;0;0.29;3.17
324;DS;2005;Platform;Sega;1.22;1.57;0.06;0.29;3.15
325;X360;2008;Action;Activision;2.4;1.03;0;0.36;3.78
326;PC;1996;Strategy;Virgin Interactive;1.37;1.34;0;0.14;2.85
327;PS2;2002;Shooter;Sony Computer Entertainment;2.53;0.81;0.06;0.24;3.65
328;X360;2010;Action;Ubisoft;2.84;0.39;0.03;0.24;3.5
329;PC;2002;Simulation;Electronic Arts;2.03;1.56;0;0.17;3.76
330;Wii;2007;Platform;Nintendo;1.98;0.88;0.59;0.32;3.76
331;PS;2001;Action;Electronic Arts;1.37;2;0.14;0.22;3.73
332;PS4;2015;Role-Playing;Namco Bandai Games;0.96;2;0.21;0.56;3.73
333;PS;1999;Action;Eidos Interactive;1.3;0.77;1.54;0.11;3.72
334;PS3;2013;Racing;Sony Computer Entertainment;0.71;1.8;0.4;0.74;3.64
335;PS2;2004;Sports;Electronic Arts;0.58;2.48;0.04;0.59;3.7
336;GB;1998;Strategy;Nintendo;1.49;0.73;1.38;0.1;3.7
337;PS3;2013;Shooter;Electronic Arts;1.3;1.51;0.27;0.61;3.69
338;DS;2007;Simulation;Electronic Arts;1.59;1.61;0.08;0.41;3.69
339;DS;2009;Misc;Nintendo;0;0;3.67;0.05;3.67
340;PS2;2002;Sports;Activision;2.13;1.18;0.01;0.35;3.67
341;X360;2009;Shooter;Take-Two Interactive;2.39;0.73;0.03;0.29;3.44
342;N64;1998;Platform;Nintendo;1.87;1.13;0.55;0.1;3.65
343;PS2;2001;Platform;Sony Computer Entertainment;2.08;1.09;0.15;0.33;3.64
344;Wii;2008;Misc;Activision;2.33;0.97;0;0.35;3.65
